A股代码,A股简称,A股上市日期
002200,云投生态,2007-12-21
002201,九鼎新材,2007-12-26
002202,金风科技,2007-12-26
002203,海亮股份,2008-01-16
002204,大连重工,2008-01-16
002205,国统股份,2008-01-23
002206,海 利 得,2008-01-23
002207,*ST准油,2008-01-28
002208,合肥城建,2008-01-28
002209,达 意 隆,2008-01-30
002210,飞马国际,2008-01-30
002211,宏达新材,2008-02-01
002212,南洋股份,2008-02-01
002213,特 尔 佳,2008-02-01
002214,大立科技,2008-02-18
002215,诺 普 信,2008-02-18
002216,三全食品,2008-02-20
002217,合力泰,2008-02-20
002218,拓日新能,2008-02-28
002219,恒康医疗,2008-03-06
002220,天宝食品,2008-02-28
002221,东华能源,2008-03-06
002222,福晶科技,2008-03-19
002223,鱼跃医疗,2008-04-18
002224,三 力 士,2008-04-25
002225,濮耐股份,2008-04-25
002226,江南化工,2008-05-06
002227,奥 特 迅,2008-05-06
002228,合兴包装,2008-05-08
002229,鸿博股份,2008-05-08
002230,科大讯飞,2008-05-12
002231,奥维通信,2008-05-12
002232,启明信息,2008-05-09
002233,塔牌集团,2008-05-16
002234,民和股份,2008-05-16
002235,安妮股份,2008-05-16
002236,大华股份,2008-05-20
002237,恒邦股份,2008-05-20
002238,天威视讯,2008-05-26
002239,奥特佳,2008-05-22
002240,威华股份,2008-05-23
002241,歌尔股份,2008-05-22
002242,九阳股份,2008-05-28
002243,通产丽星,2008-05-28
002244,滨江集团,2008-05-29
002245,澳洋顺昌,2008-06-05
002246,北化股份,2008-06-05
002247,帝龙文化,2008-06-12
002248,*ST东数,2008-06-12
002249,大洋电机,2008-06-19
002250,联化科技,2008-06-19
002251,步 步 高,2008-06-19
002252,上海莱士,2008-06-23
002253,川大智胜,2008-06-23
002254,泰和新材,2008-06-25
002255,海陆重工,2008-06-25
002256,兆新股份,2008-06-25
002258,利尔化学,2008-07-08
002259,升达林业,2008-07-16
002260,德奥通航,2008-07-16
002261,拓维信息,2008-07-23
002262,恩华药业,2008-07-23
002263,大 东 南,2008-07-28
002264,新 华 都,2008-07-31
002265,西仪股份,2008-08-06
002266,浙富控股,2008-08-06
002267,陕天然气,2008-08-13
002268,卫 士 通,2008-08-11
002269,美邦服饰,2008-08-28
002270,华明装备,2008-09-05
002271,东方雨虹,2008-09-10
002272,川润股份,2008-09-19
002273,水晶光电,2008-09-19
002274,华昌化工,2008-09-25
002275,桂林三金,2009-07-10
002276,万马股份,2009-07-10
002277,友阿股份,2009-07-17
002278,神开股份,2009-08-11
002279,久其软件,2009-08-11
002280,联络互动,2009-08-21
002281,光迅科技,2009-08-21
002282,博深工具,2009-08-21
002283,天润曲轴,2009-08-21
002284,亚太股份,2009-08-28
002285,世联行,2009-08-28
002286,保龄宝,2009-08-28
002287,奇正藏药,2009-08-28
002288,超华科技,2009-09-03
002289,宇顺电子,2009-09-03
002290,中科新材,2009-09-03
002291,星期六,2009-09-03
002292,奥飞娱乐,2009-09-10
002293,罗莱生活,2009-09-10
002294,信立泰,2009-09-10
002295,精艺股份,2009-09-29
002296,辉煌科技,2009-09-29
002297,博云新材,2009-09-29
002298,中电鑫龙,2009-09-29
002299,圣农发展,2009-10-21
002300,太阳电缆,2009-10-21
002301,齐心集团,2009-10-21
002302,西部建设,2009-11-03
002303,美盈森,2009-11-03
002304,洋河股份,2009-11-06
002305,南国置业,2009-11-06
002306,*ST云网,2009-11-11
002307,北新路桥,2009-11-11
002308,威创股份,2009-11-27
002309,中利集团,2009-11-27
002310,东方园林,2009-11-27
002311,海大集团,2009-11-27
002312,*ST三泰,2009-12-03
002313,日海通讯,2009-12-03
002314,南山控股,2009-12-03
002315,焦点科技,2009-12-09
002316,键桥通讯,2009-12-09
002317,众生药业,2009-12-11
002318,久立特材,2009-12-11
002319,乐通股份,2009-12-11
002320,海峡股份,2009-12-16
002321,华英农业,2009-12-16
002322,理工环科,2009-12-18
002323,雅百特,2009-12-18
002324,普利特,2009-12-18
002325,洪涛股份,2009-12-22
002326,永太科技,2009-12-22
002327,富安娜,2009-12-30
002328,新朋股份,2009-12-30
002329,皇氏集团,2010-01-06
002330,得利斯,2010-01-06
002331,皖通科技,2010-01-06
002332,仙琚制药,2010-01-12
002333,罗普斯金,2010-01-12
002334,英威腾,2010-01-13
002335,科华恒盛,2010-01-13
002336,人人乐,2010-01-13
002337,赛象科技,2010-01-15
002338,奥普光电,2010-01-15
002339,积成电子,2010-01-22
002340,格林美,2010-01-22
002341,新纶科技,2010-01-22
002342,巨力索具,2010-01-26
002343,慈文传媒,2010-01-26
002344,海宁皮城,2010-01-26
002345,潮宏基,2010-01-28
002346,柘中股份,2010-01-28
002347,泰尔股份,2010-01-28
002348,高乐股份,2010-02-03
002349,精华制药,2010-02-03
002350,北京科锐,2010-02-03
002351,漫步者,2010-02-05
002352,顺丰控股,2010-02-05
002353,杰瑞股份,2010-02-05
002354,天神娱乐,2010-02-09
002355,兴民智通,2010-02-09
002356,赫美集团,2010-02-09
002357,富临运业,2010-02-10
002358,森源电气,2010-02-10
002359,北讯集团,2010-02-10
002360,同德化工,2010-03-03
002361,神剑股份,2010-03-03
002362,汉王科技,2010-03-03
002363,隆基机械,2010-03-05
002364,中恒电气,2010-03-05
002365,永安药业,2010-03-05
002366,台海核电,2010-03-12
002367,康力电梯,2010-03-12
002368,太极股份,2010-03-12
002369,卓翼科技,2010-03-16
002370,亚太药业,2010-03-16
002371,北方华创,2010-03-16
002372,伟星新材,2010-03-18
002373,千方科技,2010-03-18
002374,丽鹏股份,2010-03-18
002375,亚厦股份,2010-03-23
002376,新北洋,2010-03-23
002377,国创高新,2010-03-23
002378,章源钨业,2010-03-31
002379,宏创控股,2010-03-31
002380,科远股份,2010-03-31
002381,双箭股份,2010-04-02
002382,蓝帆医疗,2010-04-02
002383,合众思壮,2010-04-02
002384,东山精密,2010-04-09
002385,大北农,2010-04-09
002386,天原集团,2010-04-09
002387,黑牛食品,2010-04-13
002388,新亚制程,2010-04-13
002389,南洋科技,2010-04-13
002390,信邦制药,2010-04-16
002391,长青股份,2010-04-16
002392,北京利尔,2010-04-23
002393,力生制药,2010-04-23
002394,联发股份,2010-04-23
002395,双象股份,2010-04-29
002396,星网锐捷,2010-06-23
002397,梦洁股份,2010-04-29
002398,建研集团,2010-05-06
